date,station,entrances,exits
2025-06-25,West 4 St-Wash Sq,6212,6313
2025-06-25,Astor Pl,9186,10373
2025-06-26,Times Sq-42 St,18824,19145
2025-06-26,Grand Central-42 St,16927,17786
2025-06-26,34 St-Penn Station,13400,13147
2025-06-26,14 St-Union Sq,4201,2820
2025-06-26,Fulton St,20159,20149
2025-06-26,42 St-Port Authority,13200,14062
2025-06-26,Herald Sq-34 St,13717,13408
2025-06-26,Canal St,7073,7316
2025-06-26,59 St-Columbus Circle,6908,6232
2025-06-26,125 St,9436,8623
2025-06-26,96 St,15591,15608
2025-06-26,86 St,16245,15138
2025-06-26,72 St,7769,7984
2025-06-26,66 St-Lincoln Center,16484,16295
2025-06-26,50 St,18629,18980
2025-06-26,28 St,13002,13558
2025-06-26,23 St,6822,6506
2025-06-26,Christopher St,14915,14140
2025-06-26,Houston St,19610,18933
2025-06-26,Spring St,10728,10800
2025-06-26,Chambers St,15897,15287
2025-06-26,Wall St,8541,8358
2025-06-26,Bowling Green,7342,7492
2025-06-26,West 4 St-Wash Sq,5491,4688
2025-06-26,Astor Pl,10497,10749
2025-06-27,Times Sq-42 St,18725,17872
2025-06-27,Grand Central-42 St,14247,14941
2025-06-27,34 St-Penn Station,15016,15222
2025-06-27,14 St-Union Sq,2335,2444
2025-06-27,Fulton St,17212,15668
2025-06-27,42 St-Port Authority,13505,15058
2025-06-27,Herald Sq-34 St,15792,14123
2025-06-27,Canal St,5635,4507
2025-06-27,59 St-Columbus Circle,7855,7042
2025-06-27,125 St,5531,6673
2025-06-27,96 St,24346,26940
2025-06-27,86 St,16509,17063
2025-06-27,72 St,9095,8071
2025-06-27,66 St-Lincoln Center,14459,14046
2025-06-27,50 St,18975,19039
2025-06-27,28 St,18381,19320
2025-06-27,23 St,7852,7557
2025-06-27,Christopher St,12811,13145
2025-06-27,Houston St,14864,15333
2025-06-27,Spring St,11824,10487
2025-06-27,Chambers St,17703,17693
2025-06-27,Wall St,8403,8614
2025-06-27,Bowling Green,6071,6495
2025-06-27,West 4 St-Wash Sq,7307,5759
2025-06-27,Astor Pl,10258,10484
2025-06-28,Times Sq-42 St,17787,16871
2025-06-28,Grand Central-42 St,18139,19027
2025-06-28,34 St-Penn Station,16381,17289
2025-06-28,14 St-Union Sq,5654,6138
2025-06-28,Fulton St,17411,17333
2025-06-28,42 St-Port Authority,12211,13708
2025-06-28,Herald Sq-34 St,12083,13105
2025-06-28,Canal St,7373,6941
2025-06-28,59 St-Columbus Circle,9773,8683
2025-06-28,125 St,10002,9821
2025-06-28,96 St,17526,18054
2025-06-28,86 St,14819,16021
2025-06-28,72 St,11121,10807
2025-06-28,66 St-Lincoln Center,13315,13136
2025-06-28,50 St,21377,20622
2025-06-28,28 St,10547,11545
2025-06-28,23 St,8620,8760
2025-06-28,Christopher St,15588,15579
2025-06-28,Houston St,19798,19862
2025-06-28,Spring St,10761,9272
2025-06-28,Chambers St,18146,18645
2025-06-28,Wall St,10542,11733
2025-06-28,Bowling Green,6860,7685
2025-06-28,West 4 St-Wash Sq,3317,3406
2025-06-28,Astor Pl,7031,8010
2025-06-29,Times Sq-42 St,14180,14926
2025-06-29,Grand Central-42 St,17242,18716
2025-06-29,34 St-Penn Station,15444,15254
2025-06-29,14 St-Union Sq,6797,8052
2025-06-29,Fulton St,17497,16326
2025-06-29,42 St-Port Authority,15328,15332
2025-06-29,Herald Sq-34 St,15183,16508
2025-06-29,Canal St,7917,8591
2025-06-29,59 St-Columbus Circle,8300,8942
2025-06-29,125 St,9753,9737
2025-06-29,96 St,17627,16589
2025-06-29,86 St,15246,14784
2025-06-29,72 St,10512,9695
2025-06-29,66 St-Lincoln Center,16206,16539
2025-06-29,50 St,16735,15810
2025-06-29,28 St,11657,11952
2025-06-29,23 St,9136,9174
2025-06-29,Christopher St,15569,15082
2025-06-29,Houston St,18204,19198
2025-06-29,Spring St,8216,9747
2025-06-29,Chambers St,17909,17291
2025-06-29,Wall St,9815,10552
2025-06-29,Bowling Green,6558,5994
2025-06-29,West 4 St-Wash Sq,4685,3632
2025-06-29,Astor Pl,7894,7229
2025-06-30,Times Sq-42 St,18637,17938
2025-06-30,Grand Central-42 St,17680,18434
2025-06-30,34 St-Penn Station,14571,15678
2025-06-30,14 St-Union Sq,3809,3986
2025-06-30,Fulton St,18674,18428
2025-06-30,42 St-Port Authority,12638,11162
2025-06-30,Herald Sq-34 St,11805,12623
2025-06-30,Canal St,7677,6441
2025-06-30,59 St-Columbus Circle,4220,5361
2025-06-30,125 St,5992,7020
2025-06-30,96 St,16763,16723
2025-06-30,86 St,17161,16952
2025-06-30,72 St,7823,8329
2025-06-30,66 St-Lincoln Center,13880,14764
2025-06-30,50 St,16225,16284
2025-06-30,28 St,11867,10944
2025-06-30,23 St,7411,7724
2025-06-30,Christopher St,16127,16280
2025-06-30,Houston St,19875,19216
2025-06-30,Spring St,11252,11877
2025-06-30,Chambers St,18225,19665
2025-06-30,Wall St,11799,12083
2025-06-30,Bowling Green,7774,7943
2025-06-30,West 4 St-Wash Sq,6560,7516
2025-06-30,Astor Pl,7114,6001
2025-07-01,Times Sq-42 St,16447,17865
2025-07-01,Grand Central-42 St,16076,16148
2025-07-01,34 St-Penn Station,16983,17213
2025-07-01,14 St-Union Sq,4181,4833
2025-07-01,Fulton St,18873,17869
2025-07-01,42 St-Port Authority,13851,12826
2025-07-01,Herald Sq-34 St,11472,11678
2025-07-01,Canal St,6713,7177
2025-07-01,59 St-Columbus Circle,9103,10210
2025-07-01,125 St,10768,9651
2025-07-01,96 St,19336,19589
2025-07-01,86 St,17422,18101
2025-07-01,72 St,9014,8072
2025-07-01,66 St-Lincoln Center,16386,15750
2025-07-01,50 St,29144,29061
2025-07-01,28 St,12128,11002
2025-07-01,23 St,9662,9835
2025-07-01,Christopher St,13847,13490
2025-07-01,Houston St,18104,18774
2025-07-01,Spring St,17286,15919
2025-07-01,Chambers St,17162,19067
2025-07-01,Wall St,9645,9481
2025-07-01,Bowling Green,6693,6271
2025-07-01,West 4 St-Wash Sq,6877,6921
2025-07-01,Astor Pl,9826,9689
2025-07-02,Times Sq-42 St,19371,19626
2025-07-02,Grand Central-42 St,17790,18055
2025-07-02,34 St-Penn Station,15646,14667
2025-07-02,14 St-Union Sq,2799,3915
2025-07-02,Fulton St,16341,16805
2025-07-02,42 St-Port Authority,11397,11380
2025-07-02,Herald Sq-34 St,14914,15131
2025-07-02,Canal St,6346,7721
2025-07-02,59 St-Columbus Circle,4934,5442
2025-07-02,125 St,6291,5886
2025-07-02,96 St,15442,15118
2025-07-02,86 St,16626,16971
2025-07-02,72 St,10894,11306
2025-07-02,66 St-Lincoln Center,11767,13336
2025-07-02,50 St,19513,18337
2025-07-02,28 St,14444,14885
2025-07-02,23 St,9060,10140
2025-07-02,Christopher St,13224,13104
2025-07-02,Houston St,19530,20164
2025-07-02,Spring St,12772,11791
2025-07-02,Chambers St,16838,16498
2025-07-02,Wall St,9135,9066
2025-07-02,Bowling Green,9652,8674
2025-07-02,West 4 St-Wash Sq,5314,5230
2025-07-02,Astor Pl,7724,8094
2025-07-03,Times Sq-42 St,15362,14452
2025-07-03,Grand Central-42 St,16265,16412
2025-07-03,34 St-Penn Station,16006,16722
2025-07-03,14 St-Union Sq,4799,4544
2025-07-03,Fulton St,15782,16692
2025-07-03,42 St-Port Authority,12378,12907
2025-07-03,Herald Sq-34 St,13874,14895
2025-07-03,Canal St,4251,3453
2025-07-03,59 St-Columbus Circle,4430,5690
2025-07-03,125 St,7193,8010
2025-07-03,96 St,16926,16369
2025-07-03,86 St,16603,16543
2025-07-03,72 St,11340,11205
2025-07-03,66 St-Lincoln Center,12823,11964
2025-07-03,50 St,19212,19027
2025-07-03,28 St,12860,11782
2025-07-03,23 St,10874,11533
2025-07-03,Christopher St,13060,12171
2025-07-03,Houston St,16673,17265
2025-07-03,Spring St,12348,11904
2025-07-03,Chambers St,18812,18159
2025-07-03,Wall St,9352,10125
2025-07-03,Bowling Green,10179,10148
2025-07-03,West 4 St-Wash Sq,2755,2555
2025-07-03,Astor Pl,5842,5031
2025-07-04,Times Sq-42 St,18861,19951
2025-07-04,Grand Central-42 St,18782,18137
2025-07-04,34 St-Penn Station,16420,17129
2025-07-04,14 St-Union Sq,3734,3675
2025-07-04,Fulton St,16333,17435
2025-07-04,42 St-Port Authority,15235,15450
2025-07-04,Herald Sq-34 St,15851,16594
2025-07-04,Canal St,6891,7436
2025-07-04,59 St-Columbus Circle,8375,8038
2025-07-04,125 St,9077,8703
2025-07-04,96 St,19996,20837
2025-07-04,86 St,17388,18359
2025-07-04,72 St,8901,8702
2025-07-04,66 St-Lincoln Center,17605,17022
2025-07-04,50 St,20729,20250
2025-07-04,28 St,10361,11482
2025-07-04,23 St,7645,7770
2025-07-04,Christopher St,13125,11888
2025-07-04,Houston St,15248,16423
2025-07-04,Spring St,11563,12498
2025-07-04,Chambers St,17491,17515
2025-07-04,Wall St,9098,8743
2025-07-04,Bowling Green,7941,9836
2025-07-04,West 4 St-Wash Sq,5478,6321
2025-07-04,Astor Pl,8731,9436
2025-07-05,Times Sq-42 St,15767,15851
2025-07-05,Grand Central-42 St,16456,15484
2025-07-05,34 St-Penn Station,13877,15161
2025-07-05,14 St-Union Sq,6054,6397
2025-07-05,Fulton St,19495,18140
2025-07-05,42 St-Port Authority,13501,13939
2025-07-05,Herald Sq-34 St,12876,12289
2025-07-05,Canal St,4120,3763
2025-07-05,59 St-Columbus Circle,9744,8645
2025-07-05,125 St,15140,14563
2025-07-05,96 St,16327,16135
2025-07-05,86 St,14712,16209
2025-07-05,72 St,9977,8551
2025-07-05,66 St-Lincoln Center,11216,11520
2025-07-05,50 St,20772,20422
2025-07-05,28 St,15659,14482
2025-07-05,23 St,6361,7214
2025-07-05,Christopher St,13272,14399
2025-07-05,Houston St,17421,17348
2025-07-05,Spring St,14009,13049
2025-07-05,Chambers St,15901,14834
2025-07-05,Wall St,8262,8771
2025-07-05,Bowling Green,9715,10271
2025-07-05,West 4 St-Wash Sq,5101,5909
2025-07-05,Astor Pl,9995,9285
2025-07-06,Times Sq-42 St,14914,14151
2025-07-06,Grand Central-42 St,18727,19133
2025-07-06,34 St-Penn Station,14922,13610
2025-07-06,14 St-Union Sq,4893,4665
2025-07-06,Fulton St,14531,15453
2025-07-06,42 St-Port Authority,13282,13443
2025-07-06,Herald Sq-34 St,12751,13640
2025-07-06,Canal St,6513,5096
2025-07-06,59 St-Columbus Circle,6560,7017
2025-07-06,125 St,9378,9177
2025-07-06,96 St,18787,18175
2025-07-06,86 St,19879,19398
2025-07-06,72 St,11566,11702
2025-07-06,66 St-Lincoln Center,13058,14511
2025-07-06,50 St,18788,19895
2025-07-06,28 St,11082,11758
2025-07-06,23 St,7593,7432
2025-07-06,Christopher St,11655,12054
2025-07-06,Houston St,19335,19407
2025-07-06,Spring St,11276,10841
2025-07-06,Chambers St,15307,14805
2025-07-06,Wall St,11174,10971
2025-07-06,Bowling Green,4563,4678
2025-07-06,West 4 St-Wash Sq,4265,5053
2025-07-06,Astor Pl,7076,5458
2025-07-07,Times Sq-42 St,18990,18368
2025-07-07,Grand Central-42 St,18037,16755
2025-07-07,34 St-Penn Station,13806,12432
2025-07-07,14 St-Union Sq,4039,4367
2025-07-07,Fulton St,18445,17825
2025-07-07,42 St-Port Authority,13364,14892
2025-07-07,Herald Sq-34 St,11711,11429
2025-07-07,Canal St,3421,3008
2025-07-07,59 St-Columbus Circle,6171,6179
2025-07-07,125 St,6540,7161
2025-07-07,96 St,14734,16196
2025-07-07,86 St,18720,18710
2025-07-07,72 St,10464,9928
2025-07-07,66 St-Lincoln Center,13281,12531
2025-07-07,50 St,16496,18213
2025-07-07,28 St,13092,13346
2025-07-07,23 St,9826,9508
2025-07-07,Christopher St,15689,15815
2025-07-07,Houston St,17361,19076
2025-07-07,Spring St,9561,8774
2025-07-07,Chambers St,18641,19419
2025-07-07,Wall St,8028,8669
2025-07-07,Bowling Green,6954,6926
2025-07-07,West 4 St-Wash Sq,7748,7324
2025-07-07,Astor Pl,6977,7899
2025-07-08,Times Sq-42 St,15610,16193
2025-07-08,Grand Central-42 St,17822,16491
2025-07-08,34 St-Penn Station,12447,12719
2025-07-08,14 St-Union Sq,5727,4637
2025-07-08,Fulton St,15165,13583
2025-07-08,42 St-Port Authority,14063,12700
2025-07-08,Herald Sq-34 St,17455,15895
2025-07-08,Canal St,8056,6246
2025-07-08,59 St-Columbus Circle,7398,7316
2025-07-08,125 St,8501,9841
2025-07-08,96 St,16896,16258
2025-07-08,86 St,15810,15897
2025-07-08,72 St,18864,19518
2025-07-08,66 St-Lincoln Center,14602,15390
2025-07-08,50 St,19491,19668
2025-07-08,28 St,9915,11534
2025-07-08,23 St,10516,10602
2025-07-08,Christopher St,14522,15031
2025-07-08,Houston St,19793,20680
2025-07-08,Spring St,9647,9841
2025-07-08,Chambers St,14996,13811
2025-07-08,Wall St,10089,8289
2025-07-08,Bowling Green,9968,9000
2025-07-08,West 4 St-Wash Sq,7423,7212
2025-07-08,Astor Pl,7390,6271
2025-07-09,Times Sq-42 St,17286,15697
2025-07-09,Grand Central-42 St,19163,18997
2025-07-09,34 St-Penn Station,15920,15657
2025-07-09,14 St-Union Sq,5865,6988
2025-07-09,Fulton St,19610,18955
2025-07-09,42 St-Port Authority,12421,11736
2025-07-09,Herald Sq-34 St,14006,15152
2025-07-09,Canal St,5617,7086
2025-07-09,59 St-Columbus Circle,4926,6402
2025-07-09,125 St,6158,6421
2025-07-09,96 St,28009,29198
2025-07-09,86 St,19910,19507
2025-07-09,72 St,12992,12492
2025-07-09,66 St-Lincoln Center,14851,15254
2025-07-09,50 St,18139,18990
2025-07-09,28 St,13617,14619
2025-07-09,23 St,8386,8805
2025-07-09,Christopher St,15058,15958
2025-07-09,Houston St,18552,19204
2025-07-09,Spring St,12606,13982
2025-07-09,Chambers St,15495,16731
2025-07-09,Wall St,9665,9174
2025-07-09,Bowling Green,7777,7774
2025-07-09,West 4 St-Wash Sq,2819,3669
2025-07-09,Astor Pl,9118,7543
2025-07-10,Times Sq-42 St,16923,16137
2025-07-10,Grand Central-42 St,15002,16318
2025-07-10,34 St-Penn Station,12403,12162
2025-07-10,14 St-Union Sq,6589,6715
2025-07-10,Fulton St,18697,17432
2025-07-10,42 St-Port Authority,11261,10198
2025-07-10,Herald Sq-34 St,12536,12511
2025-07-10,Canal St,7602,6802
2025-07-10,59 St-Columbus Circle,12385,12126
2025-07-10,125 St,9616,9481
2025-07-10,96 St,18104,17941
2025-07-10,86 St,20391,20185
2025-07-10,72 St,10566,10556
2025-07-10,66 St-Lincoln Center,14424,14777
2025-07-10,50 St,18839,17523
2025-07-10,28 St,15441,15576
2025-07-10,23 St,10709,9965
2025-07-10,Christopher St,13294,14109
2025-07-10,Houston St,16610,16590
2025-07-10,Spring St,11630,11206
2025-07-10,Chambers St,16500,16565
2025-07-10,Wall St,7125,7032
2025-07-10,Bowling Green,6363,6888
2025-07-10,West 4 St-Wash Sq,4994,4986
2025-07-10,Astor Pl,8260,8307
2025-07-11,Times Sq-42 St,17861,16650
2025-07-11,Grand Central-42 St,18260,17660
2025-07-11,34 St-Penn Station,15602,14186
2025-07-11,14 St-Union Sq,6995,7539
2025-07-11,Fulton St,16686,16025
2025-07-11,42 St-Port Authority,15441,14507
2025-07-11,Herald Sq-34 St,17209,16078
2025-07-11,Canal St,6957,6502
2025-07-11,59 St-Columbus Circle,8263,10024
2025-07-11,125 St,8809,8792
2025-07-11,96 St,17388,16659
2025-07-11,86 St,15651,16242
2025-07-11,72 St,11774,11285
2025-07-11,66 St-Lincoln Center,16777,17794
2025-07-11,50 St,16597,15829
2025-07-11,28 St,14091,12859
2025-07-11,23 St,5615,7543
2025-07-11,Christopher St,13337,13182
2025-07-11,Houston St,16380,16880
2025-07-11,Spring St,12074,11950
2025-07-11,Chambers St,15994,16246
2025-07-11,Wall St,9128,8653
2025-07-11,Bowling Green,8286,8913
2025-07-11,West 4 St-Wash Sq,4251,4049
2025-07-11,Astor Pl,7426,6706
2025-07-12,Times Sq-42 St,19563,19470
2025-07-12,Grand Central-42 St,17513,17506
2025-07-12,34 St-Penn Station,15892,15826
2025-07-12,14 St-Union Sq,6480,5049
2025-07-12,Fulton St,18309,19342
2025-07-12,42 St-Port Authority,12432,11988
2025-07-12,Herald Sq-34 St,15792,15549
2025-07-12,Canal St,7483,6288
2025-07-12,59 St-Columbus Circle,6588,5531
2025-07-12,125 St,8482,7529
2025-07-12,96 St,16530,17632
2025-07-12,86 St,18326,17458
2025-07-12,72 St,11744,12647
2025-07-12,66 St-Lincoln Center,14409,12983
2025-07-12,50 St,19112,19282
2025-07-12,28 St,13696,12681
2025-07-12,23 St,7673,6634
2025-07-12,Christopher St,11924,12515
2025-07-12,Houston St,15850,16684
2025-07-12,Spring St,12929,14501
2025-07-12,Chambers St,18447,19674
2025-07-12,Wall St,8813,7503
2025-07-12,Bowling Green,5438,6177
2025-07-12,West 4 St-Wash Sq,6645,6359
2025-07-12,Astor Pl,7940,8027
2025-07-13,Times Sq-42 St,15481,15964
2025-07-13,Grand Central-42 St,21901,20558
2025-07-13,34 St-Penn Station,14929,15081
2025-07-13,14 St-Union Sq,6262,5721
2025-07-13,Fulton St,17577,17500
2025-07-13,42 St-Port Authority,10689,11373
2025-07-13,Herald Sq-34 St,12013,13774
2025-07-13,Canal St,4511,4180
2025-07-13,59 St-Columbus Circle,5224,4368
2025-07-13,125 St,8868,8510
2025-07-13,96 St,18972,18158
2025-07-13,86 St,18560,17070
2025-07-13,72 St,12741,12561
2025-07-13,66 St-Lincoln Center,12383,13932
2025-07-13,50 St,18021,16542
2025-07-13,28 St,13088,12664
2025-07-13,23 St,10561,10559
2025-07-13,Christopher St,13317,11538
2025-07-13,Houston St,17726,18070
2025-07-13,Spring St,9547,10557
2025-07-13,Chambers St,15383,15981
2025-07-13,Wall St,8596,8545
2025-07-13,Bowling Green,8756,7739
2025-07-13,West 4 St-Wash Sq,4989,6013
2025-07-13,Astor Pl,5312,5750
2025-07-14,Times Sq-42 St,14328,14850
2025-07-14,Grand Central-42 St,29309,29689
2025-07-14,34 St-Penn Station,15416,13982
2025-07-14,14 St-Union Sq,3449,2888
2025-07-14,Fulton St,19881,19968
2025-07-14,42 St-Port Authority,13768,14980
2025-07-14,Herald Sq-34 St,14477,13673
2025-07-14,Canal St,3199,3242
2025-07-14,59 St-Columbus Circle,4860,4868
2025-07-14,125 St,8090,6656
2025-07-14,96 St,18978,18331
2025-07-14,86 St,15423,16152
2025-07-14,72 St,8854,8293
2025-07-14,66 St-Lincoln Center,14692,14698
2025-07-14,50 St,19409,19525
2025-07-14,28 St,13257,12119
2025-07-14,23 St,8536,8164
2025-07-14,Christopher St,16024,15414
2025-07-14,Houston St,19179,20972
2025-07-14,Spring St,9557,9274
2025-07-14,Chambers St,18050,17214
2025-07-14,Wall St,11039,11219
2025-07-14,Bowling Green,7428,7640
2025-07-14,West 4 St-Wash Sq,5338,4531
2025-07-14,Astor Pl,6144,7711
2025-07-15,Times Sq-42 St,15854,15158
2025-07-15,Grand Central-42 St,15645,16464
2025-07-15,34 St-Penn Station,14987,14288
2025-07-15,14 St-Union Sq,3448,3917
2025-07-15,Fulton St,14803,15794
2025-07-15,42 St-Port Authority,9895,10545
2025-07-15,Herald Sq-34 St,12140,12522
2025-07-15,Canal St,6456,7432
2025-07-15,59 St-Columbus Circle,9211,8623
2025-07-15,125 St,7694,6552
2025-07-15,96 St,17822,18023
2025-07-15,86 St,17318,18396
2025-07-15,72 St,9605,8112
2025-07-15,66 St-Lincoln Center,11483,11506
2025-07-15,50 St,14919,15901
2025-07-15,28 St,9679,8977
2025-07-15,23 St,8076,7391
2025-07-15,Christopher St,11210,12120
2025-07-15,Houston St,17911,16756
2025-07-15,Spring St,12530,11505
2025-07-15,Chambers St,16472,16295
2025-07-15,Wall St,10239,8853
2025-07-15,Bowling Green,5357,5981
2025-07-15,West 4 St-Wash Sq,2918,4059
2025-07-15,Astor Pl,6589,6758
2025-07-16,Times Sq-42 St,12700,12721
2025-07-16,Grand Central-42 St,17037,16470
2025-07-16,34 St-Penn Station,13346,13243
2025-07-16,14 St-Union Sq,4056,3513
2025-07-16,Fulton St,14923,14681
2025-07-16,42 St-Port Authority,9706,10828
2025-07-16,Herald Sq-34 St,13632,13021
2025-07-16,Canal St,6152,6276
2025-07-16,59 St-Columbus Circle,5801,6966
2025-07-16,125 St,7299,7455
2025-07-16,96 St,14420,14730
2025-07-16,86 St,18344,17247
2025-07-16,72 St,9742,10044
2025-07-16,66 St-Lincoln Center,11823,10378
2025-07-16,50 St,17226,18145
2025-07-16,28 St,12052,11627
2025-07-16,23 St,9001,9311
2025-07-16,Christopher St,10868,10842
2025-07-16,Houston St,18144,17494
2025-07-16,Spring St,11243,11461
2025-07-16,Chambers St,24769,25267
2025-07-16,Wall St,10695,9468
2025-07-16,Bowling Green,4557,4648
2025-07-16,West 4 St-Wash Sq,2801,2974
2025-07-16,Astor Pl,8055,7630
2025-07-17,Times Sq-42 St,17112,16075
2025-07-17,Grand Central-42 St,13739,14068
2025-07-17,34 St-Penn Station,11495,11856
2025-07-17,14 St-Union Sq,4492,3777
2025-07-17,Fulton St,13667,14739
2025-07-17,42 St-Port Authority,9592,9619
2025-07-17,Herald Sq-34 St,13181,12048
2025-07-17,Canal St,5735,6296
2025-07-17,59 St-Columbus Circle,4607,6316
2025-07-17,125 St,4608,4971
2025-07-17,96 St,14114,14863
2025-07-17,86 St,15804,16057
2025-07-17,72 St,9240,8607
2025-07-17,66 St-Lincoln Center,15419,15188
2025-07-17,50 St,16421,17201
2025-07-17,28 St,13541,12380
2025-07-17,23 St,6505,6647
2025-07-17,Christopher St,13350,12665
2025-07-17,Houston St,17607,18548
2025-07-17,Spring St,10952,9999
2025-07-17,Chambers St,25934,27990
2025-07-17,Wall St,7714,8240
2025-07-17,Bowling Green,3915,4867
2025-07-17,West 4 St-Wash Sq,6058,5712
2025-07-17,Astor Pl,8382,8912
2025-07-18,Times Sq-42 St,12489,12693
2025-07-18,Grand Central-42 St,13359,12174
2025-07-18,34 St-Penn Station,11380,12139
2025-07-18,14 St-Union Sq,4025,4446
2025-07-18,Fulton St,16157,15450
2025-07-18,42 St-Port Authority,10444,11111
2025-07-18,Herald Sq-34 St,14257,13557
2025-07-18,Canal St,6356,4870
2025-07-18,59 St-Columbus Circle,4901,5193
2025-07-18,125 St,8610,7719
2025-07-18,96 St,16926,18360
2025-07-18,86 St,14316,14055
2025-07-18,72 St,7821,8472
2025-07-18,66 St-Lincoln Center,12636,11565
2025-07-18,50 St,15608,15904
2025-07-18,28 St,10586,12218
2025-07-18,23 St,8661,10209
2025-07-18,Christopher St,14325,14510
2025-07-18,Houston St,16114,17048
2025-07-18,Spring St,9506,9062
2025-07-18,Chambers St,12263,12691
2025-07-18,Wall St,10465,8890
2025-07-18,Bowling Green,5362,5523
2025-07-18,West 4 St-Wash Sq,7228,6183
2025-07-18,Astor Pl,6627,6434
2025-07-19,Times Sq-42 St,13031,13900
2025-07-19,Grand Central-42 St,17580,17728
2025-07-19,34 St-Penn Station,10933,11419
2025-07-19,14 St-Union Sq,4496,4026
2025-07-19,Fulton St,14604,14528
2025-07-19,42 St-Port Authority,9991,9933
2025-07-19,Herald Sq-34 St,11807,12291
2025-07-19,Canal St,7224,6801
2025-07-19,59 St-Columbus Circle,4296,5122
2025-07-19,125 St,7565,7177
2025-07-19,96 St,17052,17642
2025-07-19,86 St,14832,14400
2025-07-19,72 St,8426,7555
2025-07-19,66 St-Lincoln Center,10433,10588
2025-07-19,50 St,15525,15500
2025-07-19,28 St,13163,14307
2025-07-19,23 St,6478,6432
2025-07-19,Christopher St,11725,12432
2025-07-19,Houston St,17446,17500
2025-07-19,Spring St,10843,11333
2025-07-19,Chambers St,16578,15970
2025-07-19,Wall St,6830,7137
2025-07-19,Bowling Green,4868,5650
2025-07-19,West 4 St-Wash Sq,4855,4379
2025-07-19,Astor Pl,8696,9506
2025-07-20,Times Sq-42 St,14911,15001
2025-07-20,Grand Central-42 St,13146,12532
2025-07-20,34 St-Penn Station,11209,11055
2025-07-20,14 St-Union Sq,3943,3022
2025-07-20,Fulton St,21325,20291
2025-07-20,42 St-Port Authority,8996,10067
2025-07-20,Herald Sq-34 St,11429,10863
2025-07-20,Canal St,5818,4536
2025-07-20,59 St-Columbus Circle,7633,8372
2025-07-20,125 St,8996,8658
2025-07-20,96 St,16866,16639
2025-07-20,86 St,15339,15061
2025-07-20,72 St,8327,9109
2025-07-20,66 St-Lincoln Center,11624,11792
2025-07-20,50 St,16868,16655
2025-07-20,28 St,12811,13058
2025-07-20,23 St,7874,8929
2025-07-20,Christopher St,13996,14248
2025-07-20,Houston St,13679,14872
2025-07-20,Spring St,12172,11739
2025-07-20,Chambers St,13827,14494
2025-07-20,Wall St,7119,8284
2025-07-20,Bowling Green,8107,8146
