date,station,entrances,exits
2025-07-20,West 4 St-Wash Sq,2994,3815
2025-07-20,Astor Pl,7741,9078
2025-07-21,Times Sq-42 St,14839,14724
2025-07-21,Grand Central-42 St,13561,13987
2025-07-21,34 St-Penn Station,12397,11361
2025-07-21,14 St-Union Sq,4921,3296
2025-07-21,Fulton St,17825,17135
2025-07-21,42 St-Port Authority,10574,9792
2025-07-21,Herald Sq-34 St,13677,14466
2025-07-21,Canal St,4745,3063
2025-07-21,59 St-Columbus Circle,8848,7829
2025-07-21,125 St,9642,9974
2025-07-21,96 St,17582,17595
2025-07-21,86 St,17117,17057
2025-07-21,72 St,10000,10346
2025-07-21,66 St-Lincoln Center,17479,17521
2025-07-21,50 St,15872,15702
2025-07-21,28 St,12626,13367
2025-07-21,23 St,9452,9008
2025-07-21,Christopher St,11206,11158
2025-07-21,Houston St,18540,17351
2025-07-21,Spring St,9575,9969
2025-07-21,Chambers St,16752,16228
2025-07-21,Wall St,7003,8567
2025-07-21,Bowling Green,5540,6123
2025-07-21,West 4 St-Wash Sq,7017,6986
2025-07-21,Astor Pl,6756,6393
2025-07-22,Times Sq-42 St,16898,16883
2025-07-22,Grand Central-42 St,16194,16610
2025-07-22,34 St-Penn Station,13307,13834
2025-07-22,14 St-Union Sq,4168,2994
2025-07-22,Fulton St,14582,14227
2025-07-22,42 St-Port Authority,12692,12873
2025-07-22,Herald Sq-34 St,12738,12310
2025-07-22,Canal St,7712,7123
2025-07-22,59 St-Columbus Circle,8410,8496
2025-07-22,125 St,8641,7863
2025-07-22,96 St,18207,18589
2025-07-22,86 St,15764,15314
2025-07-22,72 St,9244,9033
2025-07-22,66 St-Lincoln Center,11617,11384
2025-07-22,50 St,15985,15696
2025-07-22,28 St,14131,13251
2025-07-22,23 St,5566,6107
2025-07-22,Christopher St,15526,15671
2025-07-22,Houston St,15513,16102
2025-07-22,Spring St,12003,10698
2025-07-22,Chambers St,14799,13385
2025-07-22,Wall St,10632,10372
2025-07-22,Bowling Green,6461,5938
2025-07-22,West 4 St-Wash Sq,7608,6473
2025-07-22,Astor Pl,8596,8833
2025-07-23,Times Sq-42 St,17327,15777
2025-07-23,Grand Central-42 St,16306,15609
2025-07-23,34 St-Penn Station,10143,11099
2025-07-23,14 St-Union Sq,7191,7723
2025-07-23,Fulton St,14646,13779
2025-07-23,42 St-Port Authority,15357,15314
2025-07-23,Herald Sq-34 St,13012,12883
2025-07-23,Canal St,6395,5563
2025-07-23,59 St-Columbus Circle,6687,6796
2025-07-23,125 St,6924,6027
2025-07-23,96 St,17800,17779
2025-07-23,86 St,14006,14590
2025-07-23,72 St,14351,13399
2025-07-23,66 St-Lincoln Center,14515,14291
2025-07-23,50 St,17467,18036
2025-07-23,28 St,13100,13008
2025-07-23,23 St,6670,6585
2025-07-23,Christopher St,13318,12561
2025-07-23,Houston St,15820,15917
2025-07-23,Spring St,8406,8776
2025-07-23,Chambers St,13985,14361
2025-07-23,Wall St,9557,10665
2025-07-23,Bowling Green,6524,7431
2025-07-23,West 4 St-Wash Sq,5873,5574
2025-07-23,Astor Pl,6888,6195
2025-07-24,Times Sq-42 St,16369,16353
2025-07-24,Grand Central-42 St,16136,15352
2025-07-24,34 St-Penn Station,14214,14637
2025-07-24,14 St-Union Sq,4087,2560
2025-07-24,Fulton St,13404,12294
2025-07-24,42 St-Port Authority,11732,11260
2025-07-24,Herald Sq-34 St,13660,13991
2025-07-24,Canal St,4788,5073
2025-07-24,59 St-Columbus Circle,9379,10034
2025-07-24,125 St,9407,9293
2025-07-24,96 St,17262,17144
2025-07-24,86 St,17246,17040
2025-07-24,72 St,11873,11095
2025-07-24,66 St-Lincoln Center,11133,11539
2025-07-24,50 St,15098,15498
2025-07-24,28 St,9623,10753
2025-07-24,23 St,7661,7802
2025-07-24,Christopher St,14507,13384
2025-07-24,Houston St,16782,16818
2025-07-24,Spring St,8503,8387
2025-07-24,Chambers St,13277,12276
2025-07-24,Wall St,9919,9030
2025-07-24,Bowling Green,6034,6256
2025-07-24,West 4 St-Wash Sq,6898,7157
2025-07-24,Astor Pl,8421,9257
2025-07-25,Times Sq-42 St,14358,14024
2025-07-25,Grand Central-42 St,17833,17284
2025-07-25,34 St-Penn Station,15149,13331
2025-07-25,14 St-Union Sq,5733,6437
2025-07-25,Fulton St,15143,16007
2025-07-25,42 St-Port Authority,11278,11287
2025-07-25,Herald Sq-34 St,15071,15036
2025-07-25,Canal St,6319,6015
2025-07-25,59 St-Columbus Circle,5173,5496
2025-07-25,125 St,7414,7785
2025-07-25,96 St,14978,15538
2025-07-25,86 St,16961,18255
2025-07-25,72 St,11076,13360
2025-07-25,66 St-Lincoln Center,15826,14939
2025-07-25,50 St,18370,18889
2025-07-25,28 St,11190,11361
2025-07-25,23 St,7807,8547
2025-07-25,Christopher St,14531,14508
2025-07-25,Houston St,14064,14158
2025-07-25,Spring St,8876,8541
2025-07-25,Chambers St,16958,16974
2025-07-25,Wall St,6657,6572
2025-07-25,Bowling Green,5833,6517
2025-07-25,West 4 St-Wash Sq,6767,7851
2025-07-25,Astor Pl,6598,6680
2025-07-26,Times Sq-42 St,13195,12976
2025-07-26,Grand Central-42 St,16304,17621
2025-07-26,34 St-Penn Station,10540,11382
2025-07-26,14 St-Union Sq,5131,3990
2025-07-26,Fulton St,15974,14978
2025-07-26,42 St-Port Authority,10193,9912
2025-07-26,Herald Sq-34 St,12880,13541
2025-07-26,Canal St,5851,6294
2025-07-26,59 St-Columbus Circle,4289,5158
2025-07-26,125 St,6345,5621
2025-07-26,96 St,14307,13153
2025-07-26,86 St,18334,16909
2025-07-26,72 St,8207,6876
2025-07-26,66 St-Lincoln Center,13101,13797
2025-07-26,50 St,17292,17678
2025-07-26,28 St,10791,10640
2025-07-26,23 St,10695,10673
2025-07-26,Christopher St,12050,13006
2025-07-26,Houston St,17028,17733
2025-07-26,Spring St,11005,11512
2025-07-26,Chambers St,16747,17228
2025-07-26,Wall St,9639,8065
2025-07-26,Bowling Green,4389,4454
2025-07-26,West 4 St-Wash Sq,3411,3403
2025-07-26,Astor Pl,5742,7290
2025-07-27,Times Sq-42 St,14902,14925
2025-07-27,Grand Central-42 St,14132,13977
2025-07-27,34 St-Penn Station,18174,16708
2025-07-27,14 St-Union Sq,4019,3952
2025-07-27,Fulton St,12928,14250
2025-07-27,42 St-Port Authority,12676,13213
2025-07-27,Herald Sq-34 St,13095,12170
2025-07-27,Canal St,5374,5875
2025-07-27,59 St-Columbus Circle,8174,8180
2025-07-27,125 St,7271,7896
2025-07-27,96 St,14796,14430
2025-07-27,86 St,14132,13501
2025-07-27,72 St,8935,9458
2025-07-27,66 St-Lincoln Center,12849,12463
2025-07-27,50 St,16658,17142
2025-07-27,28 St,10025,10559
2025-07-27,23 St,8246,8147
2025-07-27,Christopher St,13374,12876
2025-07-27,Houston St,16189,16174
2025-07-27,Spring St,10803,11120
2025-07-27,Chambers St,18103,18557
2025-07-27,Wall St,10574,11255
2025-07-27,Bowling Green,6704,6108
2025-07-27,West 4 St-Wash Sq,5037,5509
2025-07-27,Astor Pl,8832,8346
2025-07-28,Times Sq-42 St,15815,15381
2025-07-28,Grand Central-42 St,16591,16900
2025-07-28,34 St-Penn Station,13968,13422
2025-07-28,14 St-Union Sq,5978,5978
2025-07-28,Fulton St,15244,14573
2025-07-28,42 St-Port Authority,9458,10673
2025-07-28,Herald Sq-34 St,12442,10966
2025-07-28,Canal St,5231,4364
2025-07-28,59 St-Columbus Circle,7870,7142
2025-07-28,125 St,8497,8676
2025-07-28,96 St,14264,15449
2025-07-28,86 St,17570,18010
2025-07-28,72 St,7481,7137
2025-07-28,66 St-Lincoln Center,11218,11527
2025-07-28,50 St,15232,15440
2025-07-28,28 St,14143,12904
2025-07-28,23 St,9740,10291
2025-07-28,Christopher St,12806,13992
2025-07-28,Houston St,16432,16797
2025-07-28,Spring St,11022,10356
2025-07-28,Chambers St,14675,14517
2025-07-28,Wall St,8538,9252
2025-07-28,Bowling Green,4329,4153
2025-07-28,West 4 St-Wash Sq,4088,3192
2025-07-28,Astor Pl,5692,6382
2025-07-29,Times Sq-42 St,15813,14948
2025-07-29,Grand Central-42 St,13927,13651
2025-07-29,34 St-Penn Station,12351,12441
2025-07-29,14 St-Union Sq,6340,5194
2025-07-29,Fulton St,15342,15563
2025-07-29,42 St-Port Authority,11777,11271
2025-07-29,Herald Sq-34 St,14022,13239
2025-07-29,Canal St,6087,6219
2025-07-29,59 St-Columbus Circle,6254,6615
2025-07-29,125 St,8512,7169
2025-07-29,96 St,15730,17035
2025-07-29,86 St,14175,14382
2025-07-29,72 St,9823,9736
2025-07-29,66 St-Lincoln Center,12132,12883
2025-07-29,50 St,17748,18515
2025-07-29,28 St,10365,10655
2025-07-29,23 St,10213,9579
2025-07-29,Christopher St,12231,12167
2025-07-29,Houston St,15543,15693
2025-07-29,Spring St,10074,10804
2025-07-29,Chambers St,15714,15649
2025-07-29,Wall St,10941,10807
2025-07-29,Bowling Green,5350,6495
2025-07-29,West 4 St-Wash Sq,3378,2977
2025-07-29,Astor Pl,6839,6495
2025-07-30,Times Sq-42 St,16354,16554
2025-07-30,Grand Central-42 St,13180,13009
2025-07-30,34 St-Penn Station,13463,12587
2025-07-30,14 St-Union Sq,4843,3383
2025-07-30,Fulton St,14562,14633
2025-07-30,42 St-Port Authority,13810,12983
2025-07-30,Herald Sq-34 St,14248,14746
2025-07-30,Canal St,6679,6449
2025-07-30,59 St-Columbus Circle,5042,5201
2025-07-30,125 St,8152,6875
2025-07-30,96 St,16536,15997
2025-07-30,86 St,16064,16282
2025-07-30,72 St,10370,10601
2025-07-30,66 St-Lincoln Center,12723,12456
2025-07-30,50 St,23869,24653
2025-07-30,28 St,12096,12407
2025-07-30,23 St,5972,6126
2025-07-30,Christopher St,10396,10582
2025-07-30,Houston St,13238,14430
2025-07-30,Spring St,11197,10456
2025-07-30,Chambers St,14192,14349
2025-07-30,Wall St,9035,8688
2025-07-30,Bowling Green,7256,7375
2025-07-30,West 4 St-Wash Sq,4513,5673
2025-07-30,Astor Pl,4347,5197
2025-07-31,Times Sq-42 St,13552,14279
2025-07-31,Grand Central-42 St,15742,15053
2025-07-31,34 St-Penn Station,13007,12784
2025-07-31,14 St-Union Sq,4511,5320
2025-07-31,Fulton St,16548,17302
2025-07-31,42 St-Port Authority,12849,12884
2025-07-31,Herald Sq-34 St,14218,13922
2025-07-31,Canal St,3922,3824
2025-07-31,59 St-Columbus Circle,6048,6998
2025-07-31,125 St,10199,9594
2025-07-31,96 St,15547,14790
2025-07-31,86 St,16001,16687
2025-07-31,72 St,9309,9860
2025-07-31,66 St-Lincoln Center,15436,14721
2025-07-31,50 St,17972,17786
2025-07-31,28 St,12674,12605
2025-07-31,23 St,9581,8539
2025-07-31,Christopher St,14972,14392
2025-07-31,Houston St,15227,15157
2025-07-31,Spring St,9276,9793
2025-07-31,Chambers St,13238,13889
2025-07-31,Wall St,7974,8593
2025-07-31,Bowling Green,4232,5336
2025-07-31,West 4 St-Wash Sq,6152,6680
2025-07-31,Astor Pl,7506,8188
2025-08-01,Times Sq-42 St,17503,17545
2025-08-01,Grand Central-42 St,16155,16295
2025-08-01,34 St-Penn Station,11718,12341
2025-08-01,14 St-Union Sq,6853,5350
2025-08-01,Fulton St,15661,17007
2025-08-01,42 St-Port Authority,11140,11004
2025-08-01,Herald Sq-34 St,11238,12102
2025-08-01,Canal St,4919,4486
2025-08-01,59 St-Columbus Circle,8834,8520
2025-08-01,125 St,7285,6674
2025-08-01,96 St,18022,17261
2025-08-01,86 St,15597,14416
2025-08-01,72 St,7914,7452
2025-08-01,66 St-Lincoln Center,14442,13472
2025-08-01,50 St,15053,15787
2025-08-01,28 St,10744,10008
2025-08-01,23 St,5501,6628
2025-08-01,Christopher St,11654,11053
2025-08-01,Houston St,14721,14067
2025-08-01,Spring St,8762,8601
2025-08-01,Chambers St,14305,14224
2025-08-01,Wall St,7080,7424
2025-08-01,Bowling Green,7042,6314
2025-08-01,West 4 St-Wash Sq,5203,4828
2025-08-01,Astor Pl,7977,9031
2025-08-02,Times Sq-42 St,15968,16118
2025-08-02,Grand Central-42 St,16916,15935
2025-08-02,34 St-Penn Station,13930,14576
2025-08-02,14 St-Union Sq,3918,3889
2025-08-02,Fulton St,14408,13394
2025-08-02,42 St-Port Authority,12249,11980
2025-08-02,Herald Sq-34 St,14928,13991
2025-08-02,Canal St,6031,5986
2025-08-02,59 St-Columbus Circle,7510,7041
2025-08-02,125 St,8436,8452
2025-08-02,96 St,17460,16860
2025-08-02,86 St,14865,15041
2025-08-02,72 St,11771,10825
2025-08-02,66 St-Lincoln Center,14525,13853
2025-08-02,50 St,15324,16918
2025-08-02,28 St,11391,10466
2025-08-02,23 St,7116,7271
2025-08-02,Christopher St,12024,11982
2025-08-02,Houston St,14659,15941
2025-08-02,Spring St,11091,10736
2025-08-02,Chambers St,14710,14399
2025-08-02,Wall St,9181,9242
2025-08-02,Bowling Green,5681,5675
2025-08-02,West 4 St-Wash Sq,2626,2967
2025-08-02,Astor Pl,9142,9807
2025-08-03,Times Sq-42 St,12417,13186
2025-08-03,Grand Central-42 St,14552,15150
2025-08-03,34 St-Penn Station,10963,11764
2025-08-03,14 St-Union Sq,7466,7254
2025-08-03,Fulton St,17231,17643
2025-08-03,42 St-Port Authority,12628,12720
2025-08-03,Herald Sq-34 St,10610,11150
2025-08-03,Canal St,2662,2687
2025-08-03,59 St-Columbus Circle,8257,7885
2025-08-03,125 St,7864,7156
2025-08-03,96 St,17114,17856
2025-08-03,86 St,14930,14859
2025-08-03,72 St,8095,7866
2025-08-03,66 St-Lincoln Center,12002,13387
2025-08-03,50 St,17512,17831
2025-08-03,28 St,11592,12389
2025-08-03,23 St,6070,6150
2025-08-03,Christopher St,12407,12539
2025-08-03,Houston St,16652,16181
2025-08-03,Spring St,11913,13139
2025-08-03,Chambers St,16320,16752
2025-08-03,Wall St,8141,8250
2025-08-03,Bowling Green,7781,6801
2025-08-03,West 4 St-Wash Sq,7682,7159
2025-08-03,Astor Pl,7583,8092
2025-08-04,Times Sq-42 St,15978,16630
2025-08-04,Grand Central-42 St,17562,17353
2025-08-04,34 St-Penn Station,14864,15377
2025-08-04,14 St-Union Sq,6140,6147
2025-08-04,Fulton St,14217,14581
2025-08-04,42 St-Port Authority,14327,14128
2025-08-04,Herald Sq-34 St,11507,11713
2025-08-04,Canal St,5454,4336
2025-08-04,59 St-Columbus Circle,6420,7001
2025-08-04,125 St,8208,8920
2025-08-04,96 St,14429,14491
2025-08-04,86 St,17419,16157
2025-08-04,72 St,7427,9021
2025-08-04,66 St-Lincoln Center,12048,10452
2025-08-04,50 St,19322,18926
2025-08-04,28 St,10243,10112
2025-08-04,23 St,7076,7245
2025-08-04,Christopher St,11969,11292
2025-08-04,Houston St,14594,14928
2025-08-04,Spring St,12945,12493
2025-08-04,Chambers St,16309,17392
2025-08-04,Wall St,10542,10907
2025-08-04,Bowling Green,7300,7321
2025-08-04,West 4 St-Wash Sq,6613,7947
2025-08-04,Astor Pl,7579,6100
2025-08-05,Times Sq-42 St,13175,14073
2025-08-05,Grand Central-42 St,13737,14380
2025-08-05,34 St-Penn Station,14136,14191
2025-08-05,14 St-Union Sq,6047,6969
2025-08-05,Fulton St,13914,13982
2025-08-05,42 St-Port Authority,10696,9487
2025-08-05,Herald Sq-34 St,15467,15357
2025-08-05,Canal St,3663,3768
2025-08-05,59 St-Columbus Circle,8862,7899
2025-08-05,125 St,8603,7018
2025-08-05,96 St,16672,16150
2025-08-05,86 St,16799,16596
2025-08-05,72 St,9342,9000
2025-08-05,66 St-Lincoln Center,10932,10867
2025-08-05,50 St,23113,22740
2025-08-05,28 St,10706,9847
2025-08-05,23 St,7578,8080
2025-08-05,Christopher St,14790,15916
2025-08-05,Houston St,18264,17828
2025-08-05,Spring St,10588,10975
2025-08-05,Chambers St,16247,17304
2025-08-05,Wall St,10345,9683
2025-08-05,Bowling Green,6531,6772
2025-08-05,West 4 St-Wash Sq,3803,2882
2025-08-05,Astor Pl,8034,8677
2025-08-06,Times Sq-42 St,15963,17283
2025-08-06,Grand Central-42 St,14176,13526
2025-08-06,34 St-Penn Station,11935,10661
2025-08-06,14 St-Union Sq,5303,5176
2025-08-06,Fulton St,17110,17016
2025-08-06,42 St-Port Authority,10359,9335
2025-08-06,Herald Sq-34 St,14107,14319
2025-08-06,Canal St,3042,3245
2025-08-06,59 St-Columbus Circle,7750,8683
2025-08-06,125 St,6823,5685
2025-08-06,96 St,14702,14396
2025-08-06,86 St,16491,16474
2025-08-06,72 St,9534,8642
2025-08-06,66 St-Lincoln Center,21214,22993
2025-08-06,50 St,16241,16277
2025-08-06,28 St,9884,10867
2025-08-06,23 St,9792,9278
2025-08-06,Christopher St,13726,13338
2025-08-06,Houston St,15005,15011
2025-08-06,Spring St,8542,7521
2025-08-06,Chambers St,15671,15307
2025-08-06,Wall St,9232,8504
2025-08-06,Bowling Green,5479,5244
2025-08-06,West 4 St-Wash Sq,5054,4491
2025-08-06,Astor Pl,7819,6642
2025-08-07,Times Sq-42 St,12083,12418
2025-08-07,Grand Central-42 St,14569,13773
2025-08-07,34 St-Penn Station,13971,15023
2025-08-07,14 St-Union Sq,4581,4289
2025-08-07,Fulton St,13740,14203
2025-08-07,42 St-Port Authority,10461,10135
2025-08-07,Herald Sq-34 St,11483,11519
2025-08-07,Canal St,3287,3550
2025-08-07,59 St-Columbus Circle,8280,9482
2025-08-07,125 St,5221,6104
2025-08-07,96 St,15713,14953
2025-08-07,86 St,15922,15985
2025-08-07,72 St,10088,10543
2025-08-07,66 St-Lincoln Center,14655,15380
2025-08-07,50 St,18376,18490
2025-08-07,28 St,11138,12455
2025-08-07,23 St,9089,8614
2025-08-07,Christopher St,11248,12120
2025-08-07,Houston St,16818,16093
2025-08-07,Spring St,12832,11577
2025-08-07,Chambers St,14062,12551
2025-08-07,Wall St,8241,8666
2025-08-07,Bowling Green,4580,4728
2025-08-07,West 4 St-Wash Sq,6879,7257
2025-08-07,Astor Pl,7837,6248
2025-08-08,Times Sq-42 St,17306,16403
2025-08-08,Grand Central-42 St,14524,13479
2025-08-08,34 St-Penn Station,16785,17190
2025-08-08,14 St-Union Sq,6682,5992
2025-08-08,Fulton St,15240,15205
2025-08-08,42 St-Port Authority,10637,10596
2025-08-08,Herald Sq-34 St,12458,11816
2025-08-08,Canal St,7868,6529
2025-08-08,59 St-Columbus Circle,5632,6518
2025-08-08,125 St,8937,8644
2025-08-08,96 St,16347,16294
2025-08-08,86 St,14747,13820
2025-08-08,72 St,9303,8908
2025-08-08,66 St-Lincoln Center,12488,11882
2025-08-08,50 St,17806,18916
2025-08-08,28 St,13674,13396
2025-08-08,23 St,6722,6637
2025-08-08,Christopher St,13402,12909
2025-08-08,Houston St,17563,16554
2025-08-08,Spring St,10466,11391
2025-08-08,Chambers St,14191,15386
2025-08-08,Wall St,9864,9890
2025-08-08,Bowling Green,5954,6591
2025-08-08,West 4 St-Wash Sq,6938,7095
2025-08-08,Astor Pl,7851,8096
2025-08-09,Times Sq-42 St,12281,13713
2025-08-09,Grand Central-42 St,21984,21839
2025-08-09,34 St-Penn Station,11373,11792
2025-08-09,14 St-Union Sq,10266,9283
2025-08-09,Fulton St,14050,15066
2025-08-09,42 St-Port Authority,12216,11246
2025-08-09,Herald Sq-34 St,13315,12835
2025-08-09,Canal St,4978,6364
2025-08-09,59 St-Columbus Circle,4540,3568
2025-08-09,125 St,9346,8303
2025-08-09,96 St,15971,15435
2025-08-09,86 St,15365,14646
2025-08-09,72 St,11639,11496
2025-08-09,66 St-Lincoln Center,13522,14168
2025-08-09,50 St,16326,15332
2025-08-09,28 St,12374,12007
2025-08-09,23 St,6424,7348
2025-08-09,Christopher St,16018,15166
2025-08-09,Houston St,13998,13803
2025-08-09,Spring St,11012,11275
2025-08-09,Chambers St,17490,16870
2025-08-09,Wall St,7136,7086
2025-08-09,Bowling Green,7668,7820
2025-08-09,West 4 St-Wash Sq,2944,3889
2025-08-09,Astor Pl,9531,9641
2025-08-10,Times Sq-42 St,15879,16148
2025-08-10,Grand Central-42 St,18100,18179
2025-08-10,34 St-Penn Station,11784,12549
2025-08-10,14 St-Union Sq,4214,3731
2025-08-10,Fulton St,16425,17292
2025-08-10,42 St-Port Authority,13116,12990
2025-08-10,Herald Sq-34 St,11596,12491
2025-08-10,Canal St,2285,2319
2025-08-10,59 St-Columbus Circle,8181,8118
2025-08-10,125 St,7505,7032
2025-08-10,96 St,18123,17994
2025-08-10,86 St,14628,13424
2025-08-10,72 St,9405,9642
2025-08-10,66 St-Lincoln Center,10581,11680
2025-08-10,50 St,14949,14888
2025-08-10,28 St,11068,11468
2025-08-10,23 St,6111,7283
2025-08-10,Christopher St,15046,14588
2025-08-10,Houston St,17302,16556
2025-08-10,Spring St,10651,11084
2025-08-10,Chambers St,13803,14720
2025-08-10,Wall St,7870,8002
2025-08-10,Bowling Green,3449,3838
2025-08-10,West 4 St-Wash Sq,5177,4018
2025-08-10,Astor Pl,5095,5149
2025-08-11,Times Sq-42 St,15930,14403
2025-08-11,Grand Central-42 St,17254,15878
2025-08-11,34 St-Penn Station,12255,12424
2025-08-11,14 St-Union Sq,5095,5961
2025-08-11,Fulton St,17149,16482
2025-08-11,42 St-Port Authority,9664,10412
2025-08-11,Herald Sq-34 St,14957,16354
2025-08-11,Canal St,5429,6434
2025-08-11,59 St-Columbus Circle,6756,7932
2025-08-11,125 St,6223,5767
2025-08-11,96 St,16455,16789
2025-08-11,86 St,16149,15295
2025-08-11,72 St,8431,8692
2025-08-11,66 St-Lincoln Center,15611,15495
2025-08-11,50 St,29084,29890
2025-08-11,28 St,11781,12266
2025-08-11,23 St,8178,8108
2025-08-11,Christopher St,13810,14976
2025-08-11,Houston St,24974,24715
2025-08-11,Spring St,7399,8247
2025-08-11,Chambers St,13181,14401
2025-08-11,Wall St,7733,7737
2025-08-11,Bowling Green,7714,7416
2025-08-11,West 4 St-Wash Sq,5722,5600
2025-08-11,Astor Pl,5828,6150
2025-08-12,Times Sq-42 St,14338,13619
2025-08-12,Grand Central-42 St,16921,17076
2025-08-12,34 St-Penn Station,11876,12291
2025-08-12,14 St-Union Sq,4456,4898
2025-08-12,Fulton St,13325,13644
2025-08-12,42 St-Port Authority,10244,10586
2025-08-12,Herald Sq-34 St,14266,14965
2025-08-12,Canal St,6604,6119
2025-08-12,59 St-Columbus Circle,5280,4314
2025-08-12,125 St,9624,8617
2025-08-12,96 St,13458,14568
2025-08-12,86 St,16541,16254
2025-08-12,72 St,9809,8683
2025-08-12,66 St-Lincoln Center,12388,12005
2025-08-12,50 St,16794,16914
2025-08-12,28 St,11534,11751
2025-08-12,23 St,8912,9283
2025-08-12,Christopher St,14478,14597
2025-08-12,Houston St,15112,15403
2025-08-12,Spring St,10720,9517
2025-08-12,Chambers St,14857,15006
2025-08-12,Wall St,7493,8459
2025-08-12,Bowling Green,11839,10510
2025-08-12,West 4 St-Wash Sq,4163,2932
2025-08-12,Astor Pl,6325,5622
2025-08-13,Times Sq-42 St,13056,14132
2025-08-13,Grand Central-42 St,15524,15431
2025-08-13,34 St-Penn Station,21681,20673
2025-08-13,14 St-Union Sq,4579,4373
2025-08-13,Fulton St,14296,13444
2025-08-13,42 St-Port Authority,11206,10931
2025-08-13,Herald Sq-34 St,13084,13012
2025-08-13,Canal St,6685,5121
2025-08-13,59 St-Columbus Circle,6417,7403
2025-08-13,125 St,7723,7411
2025-08-13,96 St,14248,14942
2025-08-13,86 St,16232,15858
2025-08-13,72 St,9133,9190
2025-08-13,66 St-Lincoln Center,11529,12448
2025-08-13,50 St,19236,17874
2025-08-13,28 St,11169,10689
2025-08-13,23 St,9183,9322
2025-08-13,Christopher St,13589,13755
2025-08-13,Houston St,15081,14840
2025-08-13,Spring St,12144,12400
2025-08-13,Chambers St,15024,15519
2025-08-13,Wall St,6714,7846
2025-08-13,Bowling Green,5932,4973
2025-08-13,West 4 St-Wash Sq,6038,6949
2025-08-13,Astor Pl,5710,6561
2025-08-14,Times Sq-42 St,16819,18204
2025-08-14,Grand Central-42 St,16640,16069
2025-08-14,34 St-Penn Station,11928,11182
2025-08-14,14 St-Union Sq,3338,4477
2025-08-14,Fulton St,14039,14058
2025-08-14,42 St-Port Authority,12927,12485
2025-08-14,Herald Sq-34 St,15625,14340
2025-08-14,Canal St,7135,6737
2025-08-14,59 St-Columbus Circle,5437,5667
2025-08-14,125 St,8996,10028
2025-08-14,96 St,16417,16049
2025-08-14,86 St,16760,16347
2025-08-14,72 St,7784,8317
2025-08-14,66 St-Lincoln Center,13214,13849
2025-08-14,50 St,17773,17680
2025-08-14,28 St,13839,14426
2025-08-14,23 St,7174,7523
2025-08-14,Christopher St,12569,12481
2025-08-14,Houston St,18758,18545
2025-08-14,Spring St,12233,12431
2025-08-14,Chambers St,15303,16151
2025-08-14,Wall St,8659,7841
2025-08-14,Bowling Green,4956,4201
2025-08-14,West 4 St-Wash Sq,6142,6450
2025-08-14,Astor Pl,5891,7109