boro_cd,median_household_income,income_category,total_registered_voters,votes_candidate,votes_opponent,turnout_rate,gotv_doors_knocked,candidate_hours_spent
101,135420,High,45897,10525,25769,79.08,465,24
102,118650,High,45730,10431,28042,84.13,138,28
103,98340,Middle,42609,11685,6695,43.14,382,3
104,142890,High,42984,10216,24807,81.48,601,18
105,126730,High,36587,10024,19248,80.01,365,23
106,108920,High,49906,13182,28347,83.21,108,18
107,72450,Middle,30820,9389,5514,48.36,395,1
108,89560,Middle,37190,10358,5720,43.23,626,2
109,43820,Low,41101,16516,7128,57.53,7940,8
110,38670,Low,36020,14013,7631,60.09,7505,10
111,41230,Low,39503,17554,8054,64.83,5724,8
112,46890,Low,42815,16231,8490,57.74,6419,15
201,34560,Low,43950,16539,9439,59.11,6275,14
202,38920,Low,31325,12110,6403,59.1,7792,10
203,42180,Low,40410,16265,9498,63.75,7294,12
204,36450,Low,31348,11290,6144,55.62,6451,14
205,39870,Low,32090,12532,6543,59.44,7351,15
206,45320,Low,35863,15295,7864,64.58,6432,12
207,48750,Low,35030,13761,8154,62.56,6340,15
208,67890,Middle,31897,7394,5754,41.22,339,1
209,41560,Low,42691,16080,8325,57.17,5681,11
210,44230,Low,38084,15867,8263,63.36,7053,13
211,38940,Low,30366,12276,6465,61.72,6505,12
212,37120,Low,45401,19280,8648,61.51,5652,11
301,89450,Middle,47929,13899,7654,44.97,791,1
302,112340,High,35199,9402,19141,81.09,464,24
303,42890,Low,40473,15501,7823,57.63,7930,8
304,38760,Low,32710,13225,7997,64.88,7889,14
305,46320,Low,45820,18628,10685,63.97,7753,14
306,78940,Middle,48585,11585,7849,40,980,3
307,71230,Middle,35825,10127,7428,49,448,1
308,44650,Low,47255,19776,9893,62.79,7213,13
309,39870,Low,38881,15280,8912,62.22,7203,15
310,52340,Middle,42290,11740,6596,43.36,792,1
311,68920,Middle,45503,10679,8012,41.08,762,3
312,41230,Low,48560,21328,9929,64.37,6594,8
313,37560,Low,48782,19275,11269,62.61,7846,13
314,55670,Middle,35695,9426,6116,43.54,560,1
315,43980,Low,46418,17985,9473,59.15,7732,14
316,39120,Low,47519,17333,9806,57.11,7105,15
317,48760,Low,39423,14977,6992,55.73,5603,15
318,62340,Middle,31835,8960,4963,43.74,940,2
401,94560,Middle,38474,9245,6583,41.14,277,3
402,73280,Middle,42268,12829,8274,49.93,612,2
403,58940,Middle,35909,10901,6916,49.62,894,2
404,66780,Middle,35232,9042,5293,40.69,474,3
405,81230,Middle,34787,10387,6946,49.83,620,3
406,118670,High,43130,11371,24458,83.07,139,21
407,87450,Middle,38630,10738,7479,47.16,401,2
408,76890,Middle,34289,9230,6887,47,259,3
409,69340,Middle,32245,9612,5695,47.47,673,1
410,54670,Middle,46827,11869,6656,39.56,984,1
411,108920,High,34867,8706,18145,77.01,309,25
412,62180,Middle,44211,11676,8502,45.64,722,2
413,71560,Middle,35572,9899,5574,43.5,815,2
414,45320,Low,36202,14354,6601,57.88,7114,11
501,82340,Middle,39889,11972,6488,46.28,516,1
502,91780,Middle,43572,12720,9060,49.99,396,3
503,103450,High,42572,11562,24591,84.92,467,24